iter	RMSE
0	1808722.577
1	1780070.437
2	1751418.415
3	1723905.98
4	1700227.199
5	1672967.586
6	1647293.194
7	1624471.688
8	1600670.064
9	1577195.89
10	1552365.492
11	1529084.074
12	1507560.313
13	1487776.968
14	1471404.355
15	1454718.138
16	1436729.527
17	1418527.098
18	1400657.67
19	1384562.253
20	1369916.151
21	1355043.885
22	1340100.36
23	1325024.396
24	1309527.331
25	1295444.49
26	1281978.772
27	1270245.659
28	1260731.928
29	1251415.174
30	1238596.526
31	1229563.047
32	1219782.546
33	1209478.158
34	1197553.177
35	1185729.162
36	1175553.19
37	1164540.165
38	1157172.034
39	1147028.985
40	1139257.959
41	1129521.68
42	1121020.443
43	1112177.739
44	1104445.585
45	1097711.894
46	1090642.752
47	1083367.239
48	1074000.169
49	1066113.195
50	1058122.366
51	1050829.753
52	1042571.493
53	1036717.442
54	1029583.95
55	1022617.385
56	1018857.377
57	1012185.875
58	1004050.779
59	997201.2362
60	991266.2652
61	985517.2376
62	979330.8753
63	975272.4357
64	971997.0222
65	968371.199
66	962764.0995
67	959142.5686
68	954466.4287
69	948861.6764
70	947125.1386
71	944146.1073
72	939516.1282
73	935442.2921
74	932631.0913
75	927675.7201
76	921377.0664
77	917747.1513
78	914678.4714
79	913822.8106
80	911681.6678
81	907675.2659
82	904523.1155
83	901483.9421
84	898557.464
85	895258.0883
86	892142.9162
87	888309.4464
88	886243.6941
89	883075.873
90	880078.5226
91	877033.2465
92	872219.5849
93	870203.5908
94	869075.5045
95	868276.9147
96	866090.9369
97	861622.9612
98	859389.9199
99	857233.3927
100	853467.2946
101	850322.411
102	848112.1853
103	846481.8889
104	845091.8498
105	844001.8932
106	843140.7847
107	839875.4961
108	839281.4821
109	837477.1543
110	834703.3647
111	833858.1744
112	832289.8926
113	830993.7516
114	828696.3136
115	827924.7256
116	825705.8
117	823128.9322
118	822544.854
119	822037.123
120	818662.8074
121	817000.5175
122	814680.3922
123	812233.5075
124	811154.8586
125	810284.6515
126	809014.7086
127	807173.3435
128	805280.3579
129	803259.682
130	801965.6371
131	799774.5106
132	797526.1923
133	795656.8709
134	793718.4921
135	792432.8153
136	792109.0083
137	790197.7434
138	786338.7916
139	785789.6483
140	783161.8354
141	782111.2634
142	779225.0757
143	777531.6788
144	776834.7066
145	774891.9802
146	773937.6462
147	772007.8147
148	769277.456
149	767614.0017
150	765314.2455
151	763227.592
152	761951.8401
153	761641.423
154	760175.5949
155	759790.0578
156	759186.4053
157	757930.1891
158	756954.7013
159	755761.2342
160	755046.6555
161	753779.0091
162	751581.2562
163	750114.108
164	748752.9701
165	746967.6554
166	745679.4024
167	743953.6783
168	741831.9373
169	741137.9268
170	739577.5541
171	737728.8376
172	736745.0909
173	736382.1946
174	736000.6231
175	733347.5455
176	731909.1959
177	731102.106
178	730841.2769
179	729514.8608
180	728484.9731
181	726741.7692
182	724956.8918
183	724186.0083
184	723120.5399
185	721246.4867
186	719771.6205
187	718180.8258
188	716707.3689
189	715899.6818
190	714593.2999
191	712880.7192
192	712183.5065
193	711164.9035
194	710900.1099
195	709843.6507
196	707325.0431
197	706765.8868
198	706520.1442
199	705870.8561
200	704007.1286
201	702890.9368
202	701754.0158
203	699689.2939
204	698359.2942
205	697424.5986
206	696610.1173
207	695431.2478
